years lost manner start military age conflict loginc growth pop land literacy region
3 3 1 975 1 44 1 5.7683209958 0.6 4.4 112 56 3
3 1 1 978 1 . 1 5.7683209958 0.6 4.4 112 56 3
4 1 0 982 0 48 1 5.7683209958 0.6 4.4 112 56 3
1 0 0 986 0 59 1 5.7683209958 0.6 4.4 112 56 3
5 1 0 962 0 78 0 6.8977049431 -0.5 2.2 11 74 3
0 2 0 967 0 55 0 6.8977049431 -0.5 2.2 11 74 3
5 1 0 967 0 44 0 6.8977049431 -0.5 2.2 11 74 3
8 1 0 972 0 48 0 6.8977049431 -0.5 2.2 11 74 3
7 0 0 980 0 50 0 6.8977049431 -0.5 2.2 11 74 3
6 1 0 964 0 53 0 6.7912214627 3.2 78.8 1973 88 3
6 1 0 970 0 48 0 6.7912214627 3.2 78.8 1973 88 3
6 1 0 976 0 52 0 6.7912214627 3.2 78.8 1973 88 3
5 0 0 982 0 48 0 6.7912214627 3.2 78.8 1973 88 3
3 2 1 963 0 53 0 6.2915691396 -1.8 3.3 130 88 3
0 3 0 966 0 66 0 6.2915691396 -1.8 3.3 130 88 3
11 3 1 967 1 34 0 6.2915691396 -1.8 3.3 130 88 3
6 0 1 981 0 36 1 6.2915691396 -1.8 3.3 130 88 3
4 3 0 964 0 59 0 6.82437367 2.9 2.2 77 90 3
0 1 1 968 0 . 0 6.82437367 2.9 2.2 77 90 3
0 1 0 968 0 63 0 6.82437367 2.9 2.2 77 90 3
12 2 1 968 1 39 0 6.82437367 2.9 2.2 77 90 3
0 3 1 981 1 . 0 6.82437367 2.9 2.2 77 90 3
0 3 1 982 1 48 0 6.82437367 2.9 2.2 77 90 3
5 0 1 982 1 . 0 6.82437367 2.9 2.2 77 90 3
0 3 0 962 0 67 1 6.429719478 0.1 18.6 1285 80 3
0 3 1 962 1 59 1 6.429719478 0.1 18.6 1285 80 3
0 1 1 963 1 . 1 6.429719478 0.1 18.6 1285 80 3
5 3 0 963 0 50 1 6.429719478 0.1 18.6 1285 80 3
6 3 1 968 1 58 1 6.429719478 0.1 18.6 1285 80 3
4 1 1 975 1 54 1 6.429719478 0.1 18.6 1285 80 3
2 0 0 985 0 36 1 6.429719478 0.1 18.6 1285 80 3
4 0 0 983 0 47 0 6.551080335 3.1 0.043 0.26 80 3
0 1 0 979 0 53 0 6.3456363608 3.1 0.136 0.62 78 3
2 1 0 979 0 62 0 6.3456363608 3.1 0.136 0.62 78 3
0 1 0 981 0 55 0 6.3456363608 3.1 0.136 0.62 78 3
0 1 0 982 0 36 0 6.3456363608 3.1 0.136 0.62 78 3
5 1 0 979 0 64 0 5.8579331545 1.8 0.119 0.39 82 3
3 0 0 984 0 53 0 5.8579331545 1.8 0.119 0.39 82 3
6 3 0 973 0 37 1 7.2225660188 4.5 0.393 163 65 3
1 1 1 980 0 43 1 7.2225660188 4.5 0.393 163 65 3
6 0 0 981 1 . 1 7.2225660188 4.5 0.393 163 65 3
19 2 0 962 0 50 1 6.8772960715 3.4 1.2 5 98 3
5 1 1 981 0 49 1 6.8772960715 3.4 1.2 5 98 3
1 0 0 986 0 60 1 6.8772960715 3.4 1.2 5 98 3
1 1 0 960 0 . 0 6.8564619846 2 3 176 94 3
1 1 0 961 0 . 0 6.8564619846 2 3 176 94 3
1 1 0 962 0 . 0 6.8564619846 2 3 176 94 3
1 1 0 963 0 . 0 6.8564619846 2 3 176 94 3
0 2 0 964 0 70 0 6.8564619846 2 3 176 94 3
0 1 0 965 0 50 0 6.8564619846 2 3 176 94 3
1 1 0 965 0 . 0 6.8564619846 2 3 176 94 3
0 1 0 966 0 50 0 6.8564619846 2 3 176 94 3
0 1 0 966 0 . 0 6.8564619846 2 3 176 94 3
0 1 0 967 1 66 0 6.8564619846 2 3 176 94 3
4 1 0 967 0 47 0 6.8564619846 2 3 176 94 3
5 3 0 971 0 43 0 6.8564619846 2 3 176 94 3
0 3 1 976 0 80 0 6.8564619846 2 3 176 94 3
5 3 1 976 0 72 0 6.8564619846 2 3 176 94 3
3 1 1 981 1 56 0 6.8564619846 2 3 176 94 3
2 0 0 985 0 49 0 6.8564619846 2 3 176 94 3
5 1 0 964 0 58 0 7.3963352938 1.5 17.3 912 86 3
5 1 0 969 0 53 0 7.3963352938 1.5 17.3 912 86 3
5 1 0 974 0 52 0 7.3963352938 1.5 17.3 912 86 3
5 1 0 979 0 53 0 7.3963352938 1.5 17.3 912 86 3
4 0 0 984 0 59 0 7.3963352938 1.5 17.3 912 86 3
